District Name,website,details,all_children,location,dates_closed – start_date,dates_closed – end_date,dates_closed – indefinitely,breakfast,lunch,dinner,meal_delivery – curbside meal pickup,meal_delivery – walk-in meal pickup,meal_delivery – pending or unspecified,meal_delivery – meal delivery,start_time_1,end_time_1,start_time_2,end_time_2,start_time_3,end_time_3,address,latitude,longitude,gmaps_name,gmaps_id
Anthony ISD,https://www.anthonyisd.net/corona-virus.html,Details: The meals are available for children ages,False,MS,2020-03-23,2020-04-04,False,True,True,False,True,False,False,False,7:45 AM,9:00 AM,11:00 AM,1:00 PM,,,"Anthony Independent School District, TX 79821, USA",31.9898541,-106.5996595,Anthony Independent School District,c663d7f6b7307595fd6b296eb4315b374607107e
Anuhuac ISD,https://sites.google.com/aisdpanthers.com/anahuacisd/information-for-covid-19?authuser=0,,False,High School Cafeteria Parking lot,2020-03-16,2020-03-20,False,True,True,False,True,False,False,False,7:30 AM,9:00 AM,11:00 AM,1:00 PM,,,"Anahuac Independent School District, TX, USA",29.6629144,-94.6037231,Anahuac Independent School District,1e45b9c880f12ed77355895bde57561a20677d84
Aquilla ISD,,,False,,2020-03-01,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"Aquilla Independent School District, TX, USA",31.8548372,-97.24371049999999,Aquilla Independent School District,315c97b915cb1e0f4510011278f7057214b37bc7
Arlington ISD,"https://www.aisd.net/coronavirus/student-meal-plan-during-school-closure/
https://www.aisd.net/district-news/arlington-isd-continuing-to-feed-students/?fbclid=IwAR19c2Krj8OspT7dYXz2MkarmggqweREbKmX3jcDt2dpiBg1ZIyJZeFdsBU ",Details: Each day during the closure,False,Dipert Career,2020-03-01,2020-03-30,False,True,True,False,False,True,False,False,11:00 AM,1:00 PM,,,,,"Arlington Independent School District, TX, USA",32.71952,-97.1144039,Arlington Independent School District,58ccdf6b69e8606ee8f451ca433983134a2b9bc9
Arp ISD,http://home.arpisd.org/,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"Arp Independent School District, TX, USA",32.2768345,-95.0806918,Arp Independent School District,6c94636974b4f88e1119848d6fdf5c88df689f96
Atlanta ISD,https://www.atlisd.net/125822_2?articleID=50390,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"Atlanta Independent School District, TX, USA",33.0536875,-94.19234000000002,Atlanta Independent School District,12cc9d1344a4b463af2bcaf0fb407c0ab6589bc7
Austin Achieve Public Schools,"austinachieve.org
",Details: All students,False,"Austin Achieve Middle School, Austin Achieve Elementary School and Austin Achieve High School                                                                  Details",2020-03-23,2020-04-04,False,False,True,False,False,True,False,False,8:00 AM,10:00 AM,11:00 AM,1:00 PM,,,"5908 Manor Rd, Austin, TX 78723, United States",30.3073171,-97.679957,Austin Achieve Public Schools - Manor Campus,b0d578e695b1a3d56b22c382294e2258edad62e4
Austin Achieve Public Schools,"austinachieve.org
",Details: All students,False,"Austin Achieve Middle School, Austin Achieve Elementary School and Austin Achieve High School                                                                  Details",2020-03-23,2020-04-04,False,False,True,False,False,True,False,False,8:00 AM,10:00 AM,11:00 AM,1:00 PM,,,"7424 E Hwy 290, Austin, TX 78723, United States",30.3248221,-97.6781362,Austin Achieve Elementary School,51e956149ce63c6e4a0e631677086e53568aacbc
Austin ISD,https://www.austinisd.org/student-health/coronavirus/meals,Details: Each child may receive one breakfast and one lunch meal,False,"Blackshear Elementary School, Blanton Elementary School, Cook Elementary School, Dawson Elementary School, Govalle Elementary School, Houston Elementary School, Linder Elementary School, Perez Elementary School, Pleasant Hill Elementary School, T.A. Brown Elementary School, Burnet Middle School, Dobie Middle School, Akins Early College High School, Crockett Early College High School, Eastside Memorial Early College High School, LBJ Early College High School",2020-03-13,2020-04-03,False,True,True,False,True,False,False,True,11:00 AM,2:00 PM,,,,,"Austin Independent School District, TX, USA",30.22879349999999,-97.76340189999999,Austin Independent School District,c4232798ed4e0110dcb6b36fc8406331d30fe215
Avalon ISD,https://www.avalonisd.net/apps/news/article/1184733,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"Avalon Independent School District, TX, USA",32.2084001,-96.7815237,Avalon Independent School District,27064f47a6d59af97f9146aa26f149334fa81d4f
Avinger ISD,https://www.avingerisd.net/,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"Avinger Independent School District, TX, USA",32.9290833,-94.5418141,Avinger Independent School District,02f0bd021a074b611f2abd3d9a0e96160681cf0f
Azle ISD ,https://www.facebook.com/azleisd/?__tn__=%2Cd%2CP-R&eid=ARBupGbndqg-Oq4UoRjh4LmX4v3GBYn90iVLVRRbW1mj5xVYWE-FuiTJE2puePOYUjceGjt1ToS_gRyF ,Details:,False,"Azle High School, Eagle Heights Elementary, Pelican Bay Park",2020-03-23,2020-04-03,False,True,True,False,False,True,False,False,10:00 AM,1:00 PM,,,,,"Azle Independent School District, TX, USA",32.8737909,-97.54638849999999,Azle Independent School District,6569290df44bc8718eabda222cb879ad460190c8
