District Name,website,details,all_children,location,dates_closed – start_date,dates_closed – end_date,dates_closed – indefinitely,breakfast,lunch,dinner,meal_delivery – curbside meal pickup,meal_delivery – walk-in meal pickup,meal_delivery – pending or unspecified,meal_delivery – meal delivery,start_time_1,end_time_1,start_time_2,end_time_2,start_time_3,end_time_3,address,latitude,longitude,gmaps_name,gmaps_id
Carrollton-Farmers Branch ISD,https://cfbisd.edu/covid19/grab-go-meals/,Details:  Free meals will be provided for any CFBISD student. Please be prepared to provide your student,False,"Creekview, Newman Smith, Ranchview and Turner High Schools.",2020-03-16,2020-04-03,False,False,True,False,False,True,False,False,11:00 AM,12:30 PM,,,,,"Carrollton-Farmers Branch Independent School District, TX, USA",32.9560405,-96.89944949999999,Carrollton-Farmers Branch Independent School District,f5d7ef8f8dcb96c5e0c1864005fe7e01cad9e261
Castleberry ISD,,,False,,2020-03-16,2020-04-06,False,False,False,False,False,False,False,False,,,,,,,"Castleberry Independent School District, TX, USA",32.7759515,-97.4002872,Castleberry Independent School District,d609b74463ad4d1944272c9ba336c557af5dd714
Cedar Hill ISD,,Details:  Grab and Go Meals are for anyone under the age of,False,Plummer Elementary,2020-03-16,2020-03-20,False,True,True,False,False,True,False,False,7:30 AM,8:30 AM,11:00 AM,1:00 PM,,,"Cedar Hill Independent School District, TX, USA",32.5918484,-96.9853474,Cedar Hill Independent School District,30e62abe6e75965695eb0145067f1bc53d25f2e9
Celina ISD,,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"Celina Independent School District, TX, USA",33.3212791,-96.7708138,Celina Independent School District,525d8e05edec31e7902e8da7b406de271d73762b
Centerville ISD,https://www.centerville.k12.tx.us/264221_2,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"813 S Commerce St, Centerville, TX 75833, United States",31.2518419,-95.9808178,Centerville ISD,ea5f5fe393d5534e999e0c52055216c7b292ab74
Central Heights ISD,https://www.centralhts.org/,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"Nacogdoches, TX 75964, United States",31.7065478,-94.6783391,Central Heights School District,8babd8d3472a85aa641d73d6fe3fc338c0216b41
Channelview ISD,https://www.cvisd.org/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=148&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=23309&PageID=1,Details: Children will now receive two breakfasts and two lunches at each pick up,False, Early Childhood Center,2020-03-16,2020-04-10,False,True,True,False,True,False,False,False,10:00 AM,1:00 PM,,,,,"Channelview Independent School District, TX, USA",29.7945258,-95.11194069999999,Channelview Independent School District,d597d9bbd40162d0c674e5f32f379d1cc7b026fc
Chappel Hill ISD,,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"Chapel Hill Independent School District, TX, USA",32.3656095,-95.1223608,Chapel Hill Independent School District,18ddcbdd2c696faf4fbe47d0d1673e32bfa585c0
Charlotte ISD,http://www.charlotteisd.net/,Details: The child must be present to receive the meal but an ID number is not required.,False,High School Cafeteria Gate,2020-03-16,2020-03-20,False,False,False,False,False,True,False,False,9:00 AM,12:00 PM,,,,,"Charlotte Independent School District, TX, USA",28.8331066,-98.7260927,Charlotte Independent School District,30a14b1457e58c722c28133f0c1b30ba92da365b
Chilton ISD,https://www.chiltonisd.org/article/209605?org=chilton-isd&fbclid=IwAR0e7qduFWUiXRvx86nmNuUV182G7LCCcdUoMLo3aGUxufxtnhZGjbVaNrk,Details: All meals will be packaged to go in the district cafeteria.  Please understand that all individuals entering the building to pick up breakfast and,False,District Cafeteria,2020-03-16,2020-03-20,False,True,True,False,False,True,False,False,7:30 AM,8:30 AM,11:30 AM,12:30 PM,,,"905 Durango St, Chilton, TX 76632, United States",31.2853944,-97.0633124,Chilton High School,e0be8ede12e1c8a06da2b426e6837042f6130926
China Spring ISD,,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"China Spring Independent School District, TX, USA",31.668561,-97.33005299999999,China Spring Independent School District,dbe8cadfd65d19bd144fd30cd7dd4affd91b05ad
Chisum ISD,https://chisumisd.org/,Details:  Any student,False,Chisum Elementary and Roxton City Hall,2020-03-16,2020-03-20,False,True,True,False,False,True,False,False,7:30 AM,9:30 AM,9:00 AM,11:00 AM,,,"Chisum Independent School District, TX, USA",33.5125356,-95.62476699999999,Chisum Independent School District,0c8ab74f98fbc2f8c98f095ac9c6fb0b00bf759d
Christoval ISD,https://christovalisd.org,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"20065 3rd St, Christoval, TX 76935, United States",31.19041989999999,-100.4965048,Christoval ISD,6b54e8aeaf58107c594f2472ed1660c9b269f0f5
Clarksville ISD,https://www.clarksvilleisd.net/,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"Clarksville Independent School District, TX, USA",33.6086007,-95.0577082,Clarksville Independent School District,3f38dd00c926d450b7b377ebc852fe04d8fc313f
Clear Creek ISD,https://www.ccisd.net/news/2019-20_district_news/drive_through_meals_for_students,Details: Monday,False,"Greene Elementary, League City Elementary, McWhirter Elementary, Stewart Elementary,",2020-03-16,2020-04-10,False,True,True,False,True,False,False,False,11:00 AM,1:00 PM,,,,,"Clear Creek Independent School District, TX, USA",29.55224329999999,-95.1015225,Clear Creek Independent School District,7ea4434866d7250884d51fa58c35de20211a3fae
Cleburne ISD,,Details:  Families must make reservations for the lunch service by,False,C.C.Cooke Elementary School,2020-03-23,2020-03-27,False,True,True,False,False,True,False,False,7:00 AM,8:30 AM,11:00 AM,1:00 PM,,,"Cleburne Independent School District, TX, USA",32.3393952,-97.4597725,Cleburne Independent School District,beded10b252cd510d08553ee80370edd0a676790
Cleveland ISD,https://www.clevelandisd.org/,Details:  Enter thru the back drive,False,Cleveland Middle School and Montebello Park,2020-03-16,2020-04-10,False,True,True,False,True,False,False,False,9:00 AM,11:00 AM,,,,,"316 E Dallas St, Cleveland, TX 77327, United States",30.3381718,-95.0876727,Cleveland Independent School District,81fa81a74b805277d8bfb0a143748f34a55e55c3
Cleveland ISD,https://www.clevelandisd.org/,Details:  Enter thru the back drive,False,Cleveland Middle School and Montebello Park,2020-03-16,2020-04-10,False,True,True,False,True,False,False,False,9:00 AM,11:00 AM,,,,,"1600 Houston St, Cleveland, TX 77327, United States",30.3380696,-95.0689087,Cleveland High School,9458ff888afdd9558685fa09cfa58e7829dc30e1
Clifton ISD,,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"Clifton Independent School District, TX, USA",31.8132966,-97.56805949999999,Clifton Independent School District,574c22e331bb28beb302174d5df406697e90c59f
Clint ISD,https://www.clintweb.net/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=40&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=11352&PageID=1,,False,,2020-03-23,2020-04-04,False,False,False,False,False,False,False,False,,,,,,,"Clint Independent School District, TX, USA",31.8161947,-106.1110501,Clint Independent School District,0fb3b38e158bccf549277bcb6ce9dad6cdb63e56
Coleman ISD,https://www.colemanisd.net,Details:  Call on,False,Softball Field,2020-03-16,2020-03-20,False,True,True,False,False,False,False,False,7:30 AM,8:30 AM,11:30 AM,12:30 PM,,,"Coleman Independent School District, TX, USA",31.9675683,-99.32292129999999,Coleman Independent School District,5c338b69dd20864ba99d04a1e84cb0d566823200
College Station ISD,https://www.facebook.com/csisd/,Details: Students who pick up a lunch will also receive a breakfast in a bag for the following day.,False,"South Knoll, College Hills, Southwood Valley, River Bend and Oakwood",2020-03-16,2020-04-10,False,False,True,False,False,True,False,False,11:00 AM,1:00 PM,,,,,"College Station Independent School District, TX, USA",30.5368372,-96.30134319999999,College Station Independent School District,e969af28758ae09fd91f221cf03ab653e359e1a7
Columbia-Brazoria ISD,,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,True,False,,,,,,,"Columbia-Brazoria Independent School District, TX, USA",29.1375645,-95.62476699999999,Columbia-Brazoria Independent School District,e2b40c6aaac6badae8081afaea3acf6423aa71d8
Como ISD,https://www.cpcisd.net/article/210394?org=cp-cisd,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,True,False,,,,,,,"Como-Pickton Consolidated Independent School District, TX, USA",33.0291889,-95.4149003,Como-Pickton Consolidated Independent School District,0a15328627de82ec2ce49b878a75cdfee19af345
Connally ISD,https://www.connally.org/,Details: One meal per child and CHILD MUST BE PRESENT to receive a meal,False,Connally Elementary School,2020-03-13,2020-03-27,False,True,True,False,True,False,False,False,8:00 AM,9:00 AM,11:00 AM,12:30 PM,,,"Connally Independent School District, TX, USA",31.6461341,-97.12516989999999,Connally Independent School District,f23961d062c61e51c72419b44cdc630626a8b932
Conroe ISD,https://www.conroeisd.net/alert/conroe-isd-closed-march-16-20/,,False,"Austin Elementary, Caney Creek High School, Conroe High School, Grand Oaks High School, Hauke High School, Knox Junior High, Oak Ridge High School, The Woodlands College Park High School, The Woodlands High School, and Washington Junior High.",2020-03-16,2020-04-10,False,False,True,False,True,False,False,False,10:00 AM,1:00 PM,,,,,"Conroe Independent School District, TX, USA",30.2770972,-95.435853,Conroe Independent School District,577038ed671ac97362a4a99c41fbbfe563460310
Cooper ISD,https://www.cooperisd.net/,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"Cooper Independent School District, TX, USA",33.3765235,-95.6668306,Cooper Independent School District,dc821742b1b8b8db49eac0b20f3cdece2b397912
Coppell ISD,https://www.coppellisd.com/site/default.aspx?PageType=3&ModuleInstanceID=18787&ViewID=7b97f7ed-8e5e-4120-848f-a8b4987d588f&RenderLoc=0&FlexDataID=33998&PageID=1&fbclid=IwAR0QE4nA_xZ7SqIj2qyVvIaAZFEhcOGAauXKWoEAGIy_VDZkK8_I75QvuiA,Details: Students aged,False,"Austin Elementary, Town Center Elementary, Valley Ranch Elementary and Wilson Elementary",2020-03-16,2020-03-20,False,False,True,False,True,False,False,False,11:00 AM,12:00 PM,,,,,"Coppell Independent School District, TX, USA",32.9512665,-96.9853474,Coppell Independent School District,e37766abc3d35694158e4cd4780cfd6c7939f6a5
Copperas Cove ISD,,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"Copperas Cove Independent School District, TX, USA",31.1779101,-97.9374948,Copperas Cove Independent School District,5397f7074c90d1ac1f26d6bd9736482e87a2d89f
Corsicana ISD,https://www.cisd.org/site/default.aspx?PageType=3&ModuleInstanceID=20698&ViewID=7b97f7ed-8e5e-4120-848f-a8b4987d588f&RenderLoc=0&FlexDataID=39320&PageID=14204,Details:  Food distribution locations have been established to serve breakfast and lunch to all Corsicana Independent School District,False,"Corsicana High School, Collins Intermediate, Sam Houston, Bowie, Fannin, Navarro, Carroll, and Travis location. In addition, buses will arrive at St. John",2020-03-16,2020-04-03,False,True,True,False,True,False,False,False,10:00 AM,12:00 PM,,,,,"Corsicana Independent School District, TX, USA",32.0323863,-96.47165799999999,Corsicana Independent School District,9dbd78a5bd1c4b68ab478bf0e7621ec4a0c7548c
Crockett ISD,https://www.crockettisd.net/,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"Crockett Independent School District, TX, USA",31.3071007,-95.4568133,Crockett Independent School District,300b5e4dcd5614936630142cefc0410f280b94c4
Crockett County CCSD,http://www.ozonaschools.net,,False,,2020-03-16,2020-03-17,False,False,False,False,False,False,False,False,,,,,,,"601 Ave D, Ozona, TX 76943, United States",30.7140194,-101.2006451,Crockett County Ccsd,cee252ca4e6fc177dbd52237a96dec7723ebc916
Crockett County CCSD,http://www.ozonaschools.net,,False,,2020-03-16,2020-03-17,False,False,False,False,False,False,False,False,,,,,,,"105 Ave H, Ozona, TX 76943, United States",30.7162664,-101.2061387,Crockett County ISD,9987d4face25800dd00a4f13d7701ea72fca0e69
Crockett County CCSD,http://www.ozonaschools.net,,False,,2020-03-16,2020-03-17,False,False,False,False,False,False,False,False,,,,,,,"804 14th St, Ozona, TX 76943, United States",30.7064788,-101.2008951,Crockett County Cons Common,5d3f09926d4f108a460ba9e15425316439088faa
Crosby ISD,,Details: a weeks worth of food will be provided on pick up. Children must be in vehicle.,False,Drew Elementary,2020-03-16,2020-04-10,False,False,False,False,True,False,False,False,,,,,,,"Crosby Independent School District, TX, USA",29.9012013,-95.0390536,Crosby Independent School District,046e092d8ea9fa298068a00a1936b51a672613ac
Crowley ISD,https://www.crowleyisdtx.org/covid19?fbclid=IwAR0-i1a9pZ_JURfBIrZ0W3yxjJ0T9opR4p5VU_jXQg68mAHdk-bHESfCy_c,Details: All children,True,Student,2020-03-16,2020-03-27,False,False,False,False,False,True,False,False,7:30 AM,9:00 AM,11:00 AM,1:00 PM,4:30 PM,6:00 PM,"Crowley Independent School District, TX, USA",32.6015049,-97.4056928,Crowley Independent School District,9609f120b7e789d7f358ddc6fad7a528f923c4f8
Crystal City ISD,https://www.crystalcityisd.org/apps/news/article/1185413,,False,Student,2020-03-16,2020-03-20,False,False,False,False,False,True,False,False,7:30 AM,8:30 AM,11:30 AM,1:00 PM,,,"Crystal City Independent School District, TX, USA",28.7384206,-99.7678687,Crystal City Independent School District,45cd212d9ab9337cf350a2e2b1dd221867c3cece
Cumberland Academy ,http://www.cumberlandacademy.com/,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"1340 Shiloh Rd, Tyler, TX 75703, United States",32.2960767,-95.28678110000001,Cumberland Academy,d11813f5edccc5ac2a67dd55c748eb8d6eb5c258
Cumby ISD,https://www.cumbyisd.net/218663_2?articleID=50351,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"Cumby Independent School District, TX, USA",33.1448414,-95.8353837,Cumby Independent School District,6e4e0358e85de75bc2ef8b43028367866abe3541
Cushing ISD,https://www.cushingisd.org/,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"1088 Bearkat Dr, Cushing, TX 75760, United States",31.8193741,-94.8368476,Cushing Independent School District,35542409f8ea16d493d2f458124edaff131617c7
Cypress-Fairbanks ISD,https://cfisd-superintendent.blogspot.com/2020/03/covid-19-update-031320.html?fbclid=IwAR0VRWAQNPTvcpNiY2PGHfhHqpZVgS6Jt2uoWM4Q5nBQOE-tUH5ue8X36LU,Details:  Goodson MS will be added Tuesday,False,"Arnold MS, Bane ES, Cy Creek HS, Cy Lakes",2020-03-13,2020-04-09,False,True,True,False,True,False,False,False,,,,,,,"Cypress-Fairbanks Independent School District, TX, USA",29.8979465,-95.68787359999999,Cypress-Fairbanks Independent School District,c274b8a60215adba7575a84152fff28683f44731
Daingerfield-Lonestar ISD,https://www.dlsisd.org/apps/news/article/1184745,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"Daingerfield-Lone Star Independent School District, TX, USA",33.0330265,-94.7691586,Daingerfield-Lone Star Independent School District,f4db37dc99cb483726ed9bc027cbcad74e08b552
Dallas ISD,https://www.dallasisd.org/Page/52614,Details:  We serve meal to Dallas ISD students through the age of,False,"William A. Blair Elementary, Felix Botello Elementary, Nancy Cochran Elementary, Billy Earl Dade Middle School, Charles A. Gill Elementary, Lenore Kirk Hall Elementary, Harold Lang Middle School, Umphrey Lee Elementary, Lincoln High School, L.G. Pinkston High School, K.B. Polk Elementary, Rosemont Upper, Julian Saldivar Elementary, Seagoville North Elementary, Sam Tasby Middle School, Thomas C. Marsh Preparatory Academy, Wilmer",2020-03-01,2021-03-01,True,False,True,False,False,True,False,False,9:00 AM,9:30 AM,12:30 AM,1:00 PM,,,"Dallas Independent School District, TX, USA",32.783495,-96.7708138,Dallas Independent School District,c8cc6bb6898542ee1f15db2be2464aff546b4cf7
Damon ISD,,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"1211 County Rd 264, Damon, TX 77430, United States",29.2894041,-95.7409407,Damon Independent School District,3c4ae40d8ba0e313ddbcafb640545efc9df8bb14
Danbury ISD,,,True,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"Danbury Independent School District, TX, USA",29.2302676,-95.34162549999999,Danbury Independent School District,bf284d13c42b0626091348ab2e746e37d6cae85a
Dawson ISD,https://www.dawsonisd.net/apps/news/article/1182738,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"Dawson Independent School District, TX, USA",32.8917862,-102.1175404,Dawson Independent School District,479d1a0eb432daf5e05c9d923b3ed88fa27e2371
Dayton ISD,https://s3.amazonaws.com/scschoolfiles/552/grab_and_go_meals_engspan.pdf,Details:  Parents,False,Dr. E. R. Richter Elementary School,2020-03-16,2020-03-20,False,True,True,False,True,False,False,False,9:30 AM,12:30 PM,,,,,"Dayton Independent School District, TX, USA",30.0204656,-94.9350929,Dayton Independent School District,f6489e4f2d1659308816c59fb17a0997366d86eb
Deer Park ISD,https://www.facebook.com/dpisd,,False,Where:,2020-03-16,2020-04-10,False,True,True,False,True,False,False,False,,,,,,,"Deer Park Independent School District, TX, USA",29.7260316,-95.09110620000001,Deer Park Independent School District,77f7e5a0d09b11904881a88c3e5942b7632c183f
Del Valle ISD,https://www.dvisd.net/coronavirus/,,False,,2020-03-23,2020-04-05,False,False,False,False,False,False,True,False,,,,,,,"Del Valle Independent School District, TX, USA",30.1663503,-97.654811,Del Valle Independent School District,bad5d48cd8af33f0b372d4e86ce09851ded1b16e
Denison ISD,https://www.denisonisd.net/covid-19,Details:  All Denison ISD students are welcome to participate in this free breakfast and lunch program.,False,Scott Middle School,2020-03-16,2020-04-03,False,True,True,False,False,True,False,False,7:30 AM,9:30 AM,11:00 AM,1:30 PM,,,"Denison Independent School District, TX, USA",33.7787175,-96.55698819999999,Denison Independent School District,7b633b53e21156ab5336706afb493f4ae84e8eb4
Denton ISD,https://www.dentonisd.org/meals?fbclid=IwAR1l6BA7KVphKcvTcy38Qv1PwslqIHwjiFvfTb8ZMQyp48ixxPsLojWOEQI,Details:  Any student is eligible for service and a student ID is not required. Please use the caferteria entrance at each campus. All other entrances will be closed. The meals will be served,False,"Bell Elementary, Alexander Elementary, Nelson Elementary, Ginnings Elementary, Cross Oaks Elementary, Evers Park Elementary, Harpool Middle School, Rivera Elementary, Navo Middle School, Borman Elementary, Hodge Elementary, Calhoun Middle School, Pecan Creek Elementary, McMath Middle School, Myers Middle School",2020-03-16,2020-04-03,False,True,True,False,False,True,False,False,8:00 AM,9:00 AM,12:00 PM,1:00 PM,,,"Denton Independent School District, TX, USA",33.21513,-97.0713572,Denton Independent School District,f5086f44e662f0bb156fb0c9b54503ad867e55e0
DeSoto ISD,"www.DeSotoISD.org/Coronavirus.
https://www.dentonisd.org/meals?fbclid=IwAR1l6BA7KVphKcvTcy38Qv1PwslqIHwjiFvfTb8ZMQyp48ixxPsLojWOEQI",Details:  The packaged meals will be distributed from,False,"The Meadows Elementary, Frank D. Moates Elementary, DeSoto High School",2020-03-01,2021-03-01,True,True,True,False,True,False,False,False,9:00 AM,1:00 PM,,,,,"DeSoto Independent School District, TX, USA",32.5871053,-96.8672668,DeSoto Independent School District,ddad12b9ccd2064f0c9a63832a340b88dfc4c104
Detriot ISD,https://www.detroiteagles.net/17495?articleID=50285,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"101 Garner Dr, Detroit, TX 75436, United States",33.6692144,-95.2684673,Detroit High School,bfafbc648f9e4bc0adc646f4e7786f63ac9cfbc6
D'Hanis ISD,,Details: This service will be a,False,Cafeteria,2020-03-16,2020-03-20,False,False,False,False,False,True,False,False,7:30 AM,8:30 AM,11:00 AM,12:00 PM,,,"D'Hanis Independent School District, TX, USA",29.3234881,-99.32292129999999,D'Hanis Independent School District,af8cf158aa2bf50875b5b57c28f373fd880cf1f0
Diboll ISD,http://www.dibollisd.com/apps/news/article/1185759,Details:  Anyone,False,Where:,2020-03-16,2020-03-20,False,True,True,False,True,False,False,False,,,,,,,"Diboll Independent School District, TX, USA",31.1524625,-94.7484518,Diboll Independent School District,ab9ade5894902978d9bfb532a7d3353992fccd86
Dickinson ISD,https://www.facebook.com/dickinsonschools,Details:  Meals set up in the drop-off,False,Dickinson High School,2020-03-16,2020-04-10,False,True,True,False,True,False,False,False,11:00 AM,12:00 PM,,,,,"Dickinson Independent School District, TX, USA",29.4404707,-94.99744609999999,Dickinson Independent School District,44caece7f71a225c3d01df241ebd656d4790ed0b
Douglas ISD,https://www.douglassisd.com/,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"20712 FM 225, Douglass, TX 75943, United States",31.6654799,-94.882601,Douglass ISD,588b86241115fceb860f8a5312af761dbcbe7c89
Douglas ISD,https://www.douglassisd.com/,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"Douglass Independent School District, TX, USA",31.6496002,-94.8728093,Douglass Independent School District,6a23db83be154fdf61b15262b6a3f6ed1b09a17a
Duncanville ISD,https://www.duncanvilleisd.org/Page/16336,,False,,2020-03-01,2021-03-01,True,False,False,False,False,False,False,False,,,,,,,"Duncanville Independent School District, TX, USA",32.6510679,-96.93164809999999,Duncanville Independent School District,d1cdef44c905c7beabf9f64ac1e05f5ecad334ca
Eagle Mountain-Saginaw ISD,https://www.emsisd.com/site/default.aspx?PageType=3&DomainID=1&ModuleInstanceID=13660&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=84914&PageID=1,Details:  Students,False,"Northbrook Elementary, Gilland Elementary, Saginaw Elementary, Dozier Elementary, Highland Middle School, Marine Creek Middle School",2020-03-16,2020-04-07,False,True,True,False,True,False,False,False,11:00 AM,1:00 PM,,,,,"Eagle Mountain-Saginaw Independent School District, TX, USA",32.8815671,-97.4165053,Eagle Mountain-Saginaw Independent School District,c2d49e9bd50a162efc9fa03e8ec68bcabf62f191
Eagle Pass,https://www.eaglepassisd.net/covid19,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"Eagle Pass, TX 78852, USA",28.7091433,-100.4995214,Eagle Pass,d7f1db8e2f1f505a531738c47f5ebad5d00052ac
Early ISD,,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"Early Independent School District, TX, USA",31.7494543,-98.9024603,Early Independent School District,82dbc44e48560a3451ed4125762613229b8a6f70
East Central ISD,,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"East Central Independent School District, TX, USA",29.3934197,-98.265058,East Central Independent School District,e893ee427391a79f5a80c6231d8753b6e4e7b7ef
East Chambers ISD,https://www.eastchambers.net/News/11659#sthash.PyoiUOcl.dpbs,Details:  You may drive through the connecting road between Buccaneer and School Road where the Dome Cafeteria. We will provide curbside service supplying you with a breakfast and a lunch for each of your children from,False,East Champers ISD,2020-03-16,2020-03-20,False,True,True,True,True,False,False,False,7:15 AM,10:00 AM,11:00 AM,1:00 PM,,,"East Chambers Independent School District, TX, USA",29.7848076,-94.4182089,East Chambers Independent School District,ad23a69f42454fb2270d16cb1af0a25447917392
Ector County ISD,https://www.ectorcountyisd.org,Details: This program and these meals are for students only. Families can pick up meals for all children under the age of,True,"Odessa High School, Permian High School, New Tech Odessa, Bonham Middle, Bowie Middle, Crockett Middle, Wilson Young Medal of Honor Middle, Nimitz Middle, Ector College Prep Academy, Alamo Elementary, Austin Elementary, Burleson Elementary, Burnet Elementary, Cameron Elementary, Dowling Elementary, Goliad Elementary, Gonzalez Elementary, Hays Elementary, Sam Houston Elementary, Ireland Elementary, Lamar Early Education, Pease Elementary, Reagan Elementary, Ross Elementary, San Jacinto Elementary, Travis Elementary, Zavala Elementary, Noel Elementary, Blanton Elementary, Murry Fly Elementary, Blackshear",2020-03-16,2020-03-27,False,True,True,False,True,False,False,False,7:30 AM,9:00 AM,11:30 AM,1:00 PM,,,"Ector County Independent School District, TX, USA",31.8246483,-102.5298028,Ector County Independent School District,824ca313aa9b6d632d7e9a72dfc3e676eb2d2276
Edcouch-Elsa ISD,,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"Edcouch-Elsa Independent School District, TX, USA",26.280556,-97.9701846,Edcouch-Elsa Independent School District,6f4945e2a20ebf420ae797b409bd29f22e8be01f
Eden ISD,http://www.edenisd.net,,False,Where:,2020-03-16,2020-03-20,False,True,True,False,False,True,False,False,10:00 AM,11:00 AM,11:30 AM,12:30 PM,,,"118 W Brian St, Eden, TX 76837, United States",31.2186886,-99.8436978,Eden High School,a9d3f0e9762dd514359ce7b21ae6b5846e29137c
Eden ISD,http://www.edenisd.net,,False,Where:,2020-03-16,2020-03-20,False,True,True,False,False,True,False,False,10:00 AM,11:00 AM,11:30 AM,12:30 PM,,,"113 W Bryan St, Eden, TX 76837, United States",31.2180176,-99.8403604,Eden Independent School District,8a933953e45c2e11747518ab2f9833d50a05f4b3
Edinburg C.I.S.D.,https://www.earlyisd.net,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"411 N 8th Ave, Edinburg, TX 78541, United States",26.3054509,-98.1655615,Edinburg CISD Administration,ae6ddda58a9b82f174365280631f72bbadce2469
Elgin ISD,https://www.elginisd.net/cms/lib6/TX01917830/Centricity/Domain/4/20200316%20Covid19_Parents.pdf,,False,,2020-03-16,2020-04-05,False,False,False,False,False,False,False,False,,,,,,,"Elgin Independent School District, TX, USA",30.3431045,-97.3732655,Elgin Independent School District,ce5ee12c98f95c863ef9dea4779d92c8d2f3a85d
El Paso Academy,https://www.elpacademy.com/,,False,,2020-03-23,2020-04-05,False,False,False,False,False,False,False,False,,,,,,,"201 W Redd Rd, El Paso, TX 79932, United States",31.8603351,-106.5901093,El Paso Academy West,0dc82db8418f1eb7180c0aa9d92e2501de9a881c
El Paso Academy,https://www.elpacademy.com/,,False,,2020-03-23,2020-04-05,False,False,False,False,False,False,False,False,,,,,,,"11000 Argal Ct, El Paso, TX 79935, United States",31.7515518,-106.3290094,El Paso Academy East,72a69fd892fc3be55449e02577d1e1db86260fb1
El Paso Academy,https://www.elpacademy.com/,,False,,2020-03-23,2020-04-05,False,False,False,False,False,False,False,False,,,,,,,"201 S Americas Ave, El Paso, TX 79907, United States",31.6808598,-106.3167733,Academy Sports + Outdoors,37d53dfbb800ea57f4c218ddd08e9bdfae455f85
El Paso Academy,https://www.elpacademy.com/,,False,,2020-03-23,2020-04-05,False,False,False,False,False,False,False,False,,,,,,,"801 S Mesa Hills Dr, El Paso, TX 79912, United States",31.8177789,-106.5401262,Academy Sports + Outdoors,787f55fc27e3f7a5ea5b77eebbf47725737a9c41
El Paso Academy,https://www.elpacademy.com/,,False,,2020-03-23,2020-04-05,False,False,False,False,False,False,False,False,,,,,,,"1918 Texas Ave, El Paso, TX 79901, United States",31.7704619,-106.4687935,El Paso Leadership Academy,f92be6c1120b164d486afcb7d8595a9cd920c40a
El Paso ISD,,Details:.,False,TBA,2020-03-16,2020-04-03,False,False,False,False,False,False,True,False,,,,,,,"El Paso Independent School District, TX, USA",31.8426766,-106.4170311,El Paso Independent School District,f450640fcfa1726ff4d87f0e11332fb9efadb3f2
El Paso Leadership Academy,http://www.epleadershipacademy.org/el-paso-leadership-academy-epla-regarding-covid-19-coronavirus/,,False,,2020-03-23,2020-03-27,False,False,False,False,False,False,True,False,,,,,,,"1918 Texas Ave, El Paso, TX 79901, United States",31.7704619,-106.4687935,El Paso Leadership Academy,f92be6c1120b164d486afcb7d8595a9cd920c40a
Ennis ISD,https://www.ennis.k12.tx.us/,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"Ennis Independent School District, TX, USA",32.3185311,-96.62106109999999,Ennis Independent School District,7d4e1580328782a1a68e6c1476d3894c66ffe0b6
