District Name,website,details,all_children,location,dates_closed – start_date,dates_closed – end_date,dates_closed – indefinitely,breakfast,lunch,dinner,meal_delivery – curbside meal pickup,meal_delivery – walk-in meal pickup,meal_delivery – pending or unspecified,meal_delivery – meal delivery,start_time_1,end_time_1,start_time_2,end_time_2,start_time_3,end_time_3
Alvin ISD,https://www.alvinisd.net/Domain/287,,False,"Stevenson Primary, Passmore Elementary, Manvel Jr. High, and Rodeo Palms Jr. High",2020-03-16,2020-04-10,False,False,True,False,True,False,False,False,11:00 AM,1:00 PM,,,,
Alvin ISD,,,False,The Church on Masters Road,2020-03-16,2020-04-10,False,False,False,False,False,True,False,False,10:00 AM,6:00 PM,,,,
Angleton ISD,https://www.angletonisd.net/,Details: Delivery will run the process similar to Summer Fueled Program. Meals will run from,False,Where:,2020-03-16,2020-04-10,False,False,False,False,False,True,False,True,10:00 AM,2:00 PM,,,,
"Anna ISD        
",,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Anthony ISD,https://www.anthonyisd.net/corona-virus.html,Details: The meals are available for children ages,False,MS,2020-03-23,2020-04-04,False,True,True,False,True,False,False,False,7:45 AM,9:00 AM,11:00 AM,1:00 PM,,
Anuhuac ISD,https://sites.google.com/aisdpanthers.com/anahuacisd/information-for-covid-19?authuser=0,,False,High School Cafeteria Parking lot,2020-03-16,2020-03-20,False,True,True,False,True,False,False,False,7:30 AM,9:00 AM,11:00 AM,1:00 PM,,
Aquilla ISD,,,False,,2020-03-01,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Arlington ISD,"https://www.aisd.net/coronavirus/student-meal-plan-during-school-closure/
https://www.aisd.net/district-news/arlington-isd-continuing-to-feed-students/?fbclid=IwAR19c2Krj8OspT7dYXz2MkarmggqweREbKmX3jcDt2dpiBg1ZIyJZeFdsBU ",Details: Each day during the closure,False,Dipert Career,2020-03-01,2020-03-30,False,True,True,False,False,True,False,False,11:00 AM,1:00 PM,,,,
Arp ISD,http://home.arpisd.org/,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Atlanta ISD,https://www.atlisd.net/125822_2?articleID=50390,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Austin Achieve Public Schools,"austinachieve.org
",Details: All students,False,"Austin Achieve Middle School, Austin Achieve Elementary School and Austin Achieve High School                                                                  Details",2020-03-23,2020-04-04,False,False,True,False,False,True,False,False,8:00 AM,10:00 AM,11:00 AM,1:00 PM,,
Austin ISD,https://www.austinisd.org/student-health/coronavirus/meals,Details: Each child may receive one breakfast and one lunch meal,False,"Blackshear Elementary School, Blanton Elementary School, Cook Elementary School, Dawson Elementary School, Govalle Elementary School, Houston Elementary School, Linder Elementary School, Perez Elementary School, Pleasant Hill Elementary School, T.A. Brown Elementary School, Burnet Middle School, Dobie Middle School, Akins Early College High School, Crockett Early College High School, Eastside Memorial Early College High School, LBJ Early College High School",2020-03-13,2020-04-03,False,True,True,False,True,False,False,True,11:00 AM,2:00 PM,,,,
Avalon ISD,https://www.avalonisd.net/apps/news/article/1184733,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Avinger ISD,https://www.avingerisd.net/,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Azle ISD ,https://www.facebook.com/azleisd/?__tn__=%2Cd%2CP-R&eid=ARBupGbndqg-Oq4UoRjh4LmX4v3GBYn90iVLVRRbW1mj5xVYWE-FuiTJE2puePOYUjceGjt1ToS_gRyF ,Details:,False,"Azle High School, Eagle Heights Elementary, Pelican Bay Park",2020-03-23,2020-04-03,False,True,True,False,False,True,False,False,10:00 AM,1:00 PM,,,,
Bandera ISD,https://www.banderaisd.net/apps/news/article/1184502,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Bangs ISD,https://www.bangsisd.net,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Barbers Hill ISD,,,False,,2020-03-01,2021-03-01,True,False,False,False,False,False,False,False,,,,,,
Bastrop ISD,https://www.bisdtx.org/cms/lib/TX02218757/Centricity/Domain/2911/FAMILY%20-%20Closure%20Notice%203-16-20.pdf,,False,,2020-03-16,2020-04-05,False,False,False,False,False,False,True,False,,,,,,
Bells ISD,https://www.bellsisd.net/,Details: Breakfast,False,"Bells Elementary, Panther Apartments on McFarland, Bells City Hall, Housing close to park on Jernigan",2020-03-16,2020-04-03,False,True,True,False,True,False,False,False,,,,,,
Belton ISD,https://www.facebook.com/BeltonISD/photos/rpp.96620621358/10157591187411359/?type=3&theater,Details:  All students,False,"Miller Heights Elementary, Joe M. Pirtle Elementary School and BISD Southwest Elementary.                                                                 Details",2020-03-16,2020-03-20,False,True,True,False,True,False,False,False,7:30 AM,9:00 AM,11:30 AM,1:00 PM,,
Belville ISD,,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Big Sandy ISD,http://www.bigsandyisd.org/,,False,,2020-03-16,2020-03-27,False,False,False,False,False,False,False,False,,,,,,
Birdville ISD,https://www.birdvilleschools.net/covid19FreeMeals,Details:  BISD will provide pickup stations in front of the listed schools at the listed time for anyone age,False,"Birdville Elementary, Binion Elementary, West Bridville Elementary, and Watauga Elementary",2020-03-16,2020-04-03,False,False,True,False,True,False,False,False,11:00 AM,12:00 PM,,,,
Bishop Gorman ISD,,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Blanket ISD,http://www.blanketisd.net,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Bloomburg ISD,https://www.bloomburgisd.net/21165_1,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Blooming Grove,https://www.bgisd.org/apps/news/article/1184226,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Boerne ISD,https://www.boerneisd.net/,Details:  Meals will be given to children and families.,False,Boerne MS South and Curington ES.                                                                                                                                                               Details,2020-03-16,2020-03-20,False,True,True,False,True,False,False,False,7:00 AM,8:00 AM,11:00 AM,12:00 PM,,
Bosqueville ISD,,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Bonham ISD,,,False,Bonham High School,2020-03-16,2020-04-03,False,False,True,False,False,False,True,False,11:00 AM,1:00 PM,,,,
Brackett ISD,,Details: Lunch will be served on a to-go basis for students and families to pick up at Cafeteria.,False,Cafeteria,2020-03-16,2020-03-20,False,False,True,False,False,True,False,False,11:00 AM,1:00 PM,,,,
Brady ISD,https://www.bradyisd.org,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Brazos ISD,,,False,High School cafeteria pakring lot,2020-03-16,2020-04-03,False,False,False,False,True,False,False,False,11:30 AM,1:00 PM,,,,
Brazosport ISD,https://www.brazosportisd.net/news/what_s_new/b_i_s_d_provides_free_meals_for_anyone_18___under,,False,"TW Ogg Elementary, Velasco Elementary, Ney Elementary",2020-03-16,2020-04-10,False,True,True,False,True,False,False,False,,,,,,
Bremond IS,https://www.bremondisd.net/,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Brenham ISD,,,False,Where:,2020-03-16,2020-04-03,False,True,True,False,True,False,False,False,,,,,,
Broaddus ISD,https://www.broaddusisd.com/article/209057?org=district,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Brookesmith ISD,https://www.brookesmithisd.net,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Brooks County ISD,https://irp-cdn.multiscreensite.com/8be43fb4/files/uploaded/Brooks%20County%20ISD%20Offers%20FREE%20Curbside%20Meals%20to%20Children%2018%20and%20younger%20message.pdf,Details: To ensure we have accurate numbers of meals needed,False,Falfurrias Junior High Campus,2020-03-16,2020-03-20,False,True,True,False,True,False,False,False,9:30 AM,1:00 PM,8:00 AM,8:00 PM,,
Brownsboro ISD,,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Brownsville ISD,,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Brownwood ISD,https://www.brownwoodisd.org/covid19,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Bruceville- Eddy ISD,,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Big Springs Charter School System / Brune ,https://www.facebook.com/247033878668322/photos/pcb.3100481409990207/3100480443323637/?type=3&theater,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,True,False,,,,,,
